type,jaccard_turnover,jaccard_nestedness,jaccard_overall,bray_overall,jaccard_turnover_phy,jaccard_nestedness_phy,jaccard_overall_phy,Z_Pop_Abundance,Z_Crevice_Count,Z_Outcrop_Size,Z_Crevice_Density,Z_Outcrop_Density,Z_TL
1251,0.960505529,0.0119108,0.97241633,0.96540037,0.76411231,0.079739581,0.843851891,NA,-1.316981832,-0.816088536,NA,NA,NA
1251,0.948036493,0.00912505,0.957161543,0.934318072,0.779877295,0.035402781,0.815280076,NA,-1.316981832,-0.816088536,NA,NA,NA
1251,0.948119326,0.013566498,0.961685824,0.939140836,0.747356642,0.080009576,0.827366219,NA,-1.316981832,-0.816088536,NA,NA,NA
1251,0.940550403,0.004802497,0.9453529,0.901746678,0.748827432,0.029169641,0.777997073,NA,-1.316981832,-0.816088536,NA,NA,NA
1251,0.956405456,0.014325375,0.970730831,0.964534503,0.759757371,0.085488058,0.845245429,NA,-1.316981832,-0.816088536,NA,NA,NA
1251,0.955823293,0.006022582,0.961845875,0.939261738,0.753132238,0.048929615,0.802061853,NA,-1.316981832,-0.816088536,NA,NA,NA
1251,0.940877114,0.004752617,0.945629732,0.898821749,0.76014891,0.025188667,0.785337577,NA,-1.316981832,-0.816088536,NA,NA,NA
1292,0.949112426,0.00673973,0.955852156,0.861775783,0.741484056,0.044921255,0.786405311,-0.05003646,0.064571846,3.12295253,-0.33241419,0.076198748,-0.072509662
1292,0.94922219,0.006396076,0.955618266,0.856635205,0.737024132,0.046020721,0.783044853,-0.05003646,0.064571846,3.12295253,-0.33241419,0.076198748,-0.072509662
1292,0.950152594,0.00625864,0.956411234,0.86021046,0.745105686,0.045174846,0.790280532,-0.05003646,0.064571846,3.12295253,-0.33241419,0.076198748,-0.072509662
1292,0.949774349,0.006248596,0.956022945,0.859376056,0.742321494,0.044296641,0.786618135,-0.05003646,0.064571846,3.12295253,-0.33241419,0.076198748,-0.072509662
1292,0.949678174,0.006567056,0.95624523,0.862138594,0.742609411,0.045534278,0.788143689,-0.05003646,0.064571846,3.12295253,-0.33241419,0.076198748,-0.072509662
1292,0.948643128,0.006424526,0.955067654,0.85897407,0.736063458,0.042885381,0.778948839,-0.05003646,0.064571846,3.12295253,-0.33241419,0.076198748,-0.072509662
1292,0.950051267,0.006370458,0.956421725,0.861171074,0.743365543,0.042955215,0.786320757,-0.05003646,0.064571846,3.12295253,-0.33241419,0.076198748,-0.072509662
1477,0.95985548,0.009869013,0.969724493,0.878109342,0.763885334,0.069112073,0.832997407,1.088937813,-0.099341302,0.133469484,0.196865473,1.259520481,-2.23613129
1477,0.958105647,0.010325038,0.968430685,0.876899831,0.754948944,0.070428124,0.825377068,1.088937813,-0.099341302,0.133469484,0.196865473,1.259520481,-2.23613129
1477,0.957650273,0.010630764,0.968281037,0.830717003,0.736656566,0.085250104,0.82190667,1.088937813,-0.099341302,0.133469484,0.196865473,1.259520481,-2.23613129
1477,0.962962963,0.003967892,0.966930855,0.847488837,0.781749585,0.023121647,0.804871232,1.088937813,-0.099341302,0.133469484,0.196865473,1.259520481,-2.23613129
1477,0.955658504,0.012431669,0.968090173,0.877566223,0.75462996,0.077499495,0.832129455,1.088937813,-0.099341302,0.133469484,0.196865473,1.259520481,-2.23613129
1477,0.958617919,0.010151032,0.968768951,0.875911435,0.75342949,0.072667144,0.826096634,1.088937813,-0.099341302,0.133469484,0.196865473,1.259520481,-2.23613129
1477,0.954918943,0.01262702,0.967545963,0.87807636,0.757155271,0.076260281,0.833415552,1.088937813,-0.099341302,0.133469484,0.196865473,1.259520481,-2.23613129
3688,0.943966168,0.014962205,0.958928374,0.94059012,0.745673764,0.063932652,0.809606416,-0.223358632,-1.316981832,-0.625936233,2.066889479,-0.138950658,0.665088621
3688,0.94296875,0.018376233,0.961344983,0.956517203,0.758806845,0.057330363,0.816137208,-0.223358632,-1.316981832,-0.625936233,2.066889479,-0.138950658,0.665088621
3688,0.954335367,0.011833651,0.966169018,0.947593071,0.759012489,0.053958835,0.812971324,-0.223358632,-1.316981832,-0.625936233,2.066889479,-0.138950658,0.665088621
