sample_id	site_all	input	filtered	percentage_of_input_passed_filter	denoised	merged	percentage_merged	non-chimeric	percentage_non-chimeric	Site	SVL	Tail_Length	Tail_Dropped	Total_Length	Repeat	Roommate(s)	Baby_Roommates	Days_Diff	Notes	Year	Date	Sample_Type	Crevice_Count	Pop_Abundance	Outcrop_Size	Pop_Density_Crevices	Pop_Density_Outcrop_Size	Sequencing_Run	Bdfix	Long	Lat
1250AIRCONTROL	1250	9128	4503	49.33	4363	4317	47.29	4317	47.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2021	NA	Air_Control	NA	NA	NA	NA	NA	1	0	NA	NA
1251-1C	1251	49883	39169	78.52	37430	34699	69.56	34542	69.25	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-82.796189	34.952367
1251-1M	1251	43562	34700	79.66	32340	27307	62.69	27218	62.48	1251	5.1	NA	0	NA	0	1	0	NA	roommate with 1251-4	2023	22-Nov	Salamander	57	NA	103	NA	NA	2	0	-82.796189	34.952367
1251-2M	1251	61403	47738	77.75	45995	41943	68.31	41695	67.9	1251	4.4	NA	0	NA	0	0	0	NA	NA	2023	22-Nov	Salamander	57	NA	103	NA	NA	2	0	-82.796189	34.952367
1251-3M	1251	53044	38091	71.81	36675	34250	64.57	34003	64.1	1251	3.9	NA	0	NA	0	0	0	NA	NA	2023	22-Nov	Salamander	57	NA	103	NA	NA	2	0	-82.796189	34.952367
1251-4M	1251	44147	33242	75.3	33101	32570	73.78	32046	72.59	1251	4.3	NA	0	NA	0	1	0	NA	roommate with 1251-1	2023	22-Nov	Salamander	57	NA	103	NA	NA	2	0	-82.796189	34.952367
1292-3M	1292	37418	28111	75.13	26685	23976	64.08	23271	62.19	1292	4.6	4.3	0	8.9	1	0	0	NA	1 mite on ventrum	2023	10/3/23 0:00	Salamander	175	14.9	6649	0.085	0.0074	2	0	-82.719235	35.039825
1292-4C	1292	41738	31019	74.32	29622	27676	66.31	27676	66.31	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-82.719235	35.039825
1292-4M	1292	35269	27719	78.59	26363	23500	66.63	22961	65.1	1292	5.3	5.9	0	11.2	0	0	0	NA	NA	2023	10/3/23 0:00	Salamander	175	14.9	6649	0.085	0.0074	2	0	-82.719235	35.039825
1477-1M	1477	22673	18302	80.72	18266	18224	80.38	18196	80.25	1477	4.8	NA	0	NA	0	0	0	NA	NA	2023	22-Nov	Salamander	161	19.5	1681	0.1212	0.0096	2	0	-82.587383	35.081568
1477-2M	1477	4135	864	20.89	671	379	9.17	379	9.17	1477	4.8	NA	0	NA	0	0	0	NA	chytrid lesions	2023	22-Nov	Salamander	161	19.5	1681	0.1212	0.0096	2	1	-82.587383	35.081568
1477-3M	1477	35059	27240	77.7	27062	26572	75.79	25846	73.72	1477	3.5	NA	0	NA	0	0	0	NA	NA	2023	22-Nov	Salamander	161	19.5	1681	0.1212	0.0096	2	0	-82.587383	35.081568
51M	3688	69621	52239	75.03	48538	41453	59.54	41210	59.19	3688	4.4	0	1	4.4	0	0	0	NA	NA	2022	26-Sep	Salamander	57	14.2	419	0.2491	0.007	2	0	-82.590964	35.082069
52M	BB	67596	51640	76.4	49865	46439	68.7	45125	66.76	BB	5.1	4.9	0	10	0	0	0	NA	NA	2022	4-Oct	Salamander	259	NA	192	NA	NA	2	0	-82.852169	34.957622
53M	BB	69438	54193	78.05	51669	44917	64.69	44266	63.75	BB	5.2	5.8	0	11	0	0	0	NA	"originally put in as 52, fixed on 10/10"	2022	4-Oct	Salamander	259	NA	192	NA	NA	2	0	-82.852169	34.957622
54C	TR2	34882	27360	78.44	26739	25232	72.34	24672	70.73	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-82.703852	35.03623
54M	TR2	54793	41686	76.08	39583	35327	64.47	34741	63.4	TR2	5.2	4.6	0	9.8	0	0	0	NA	NA	2022	6-Oct	Salamander	169	7.2	1500	0.0427	0.0036	2	0	-82.703852	35.03623
